抽せん日,予測番号,当選本数字,一致数,等級,信頼度,出力元,予測番号インデックス
1995-06-20,"[0, 1, 2]","[5, 4, 2]",1,はずれ,0.944,BaseModel,予測3
1995-06-20,"[1, 4, 7]","[5, 4, 2]",1,はずれ,0.9432,BaseModel,予測4
1995-06-20,"[5, 7, 8]","[5, 4, 2]",1,はずれ,0.9397,BaseModel,予測5
1995-06-23,"[0, 7, 8]","[7, 2, 5]",1,はずれ,0.9442,BaseModel,予測1
1995-06-23,"[2, 5, 7]","[7, 2, 5]",3,ボックス,1.0193,BaseModel,予測2
1995-06-23,"[7, 8, 9]","[7, 2, 5]",1,はずれ,0.9452,BaseModel,予測3
1995-06-23,"[1, 2, 8]","[7, 2, 5]",1,はずれ,0.9405,BaseModel,予測4
1995-06-23,"[1, 7, 9]","[7, 2, 5]",1,はずれ,0.94,BaseModel,予測5
1995-06-27,"[3, 4, 6]","[2, 5, 1]",0,はずれ,0.942,BaseModel,予測1
1995-06-27,"[1, 2, 5]","[2, 5, 1]",3,ボックス,1.0183,BaseModel,予測2
1995-06-27,"[0, 4, 8]","[2, 5, 1]",0,はずれ,0.9526,BaseModel,予測3
1995-06-27,"[0, 1, 2]","[2, 5, 1]",2,はずれ,0.9442,BaseModel,予測4
1995-06-27,"[0, 6, 9]","[2, 5, 1]",0,はずれ,0.9436,BaseModel,予測5
1995-06-30,"[3, 6, 8]","[2, 6, 0]",1,はずれ,0.9432,BaseModel,予測1
1995-06-30,"[0, 4, 7]","[2, 6, 0]",1,はずれ,0.9522,BaseModel,予測2
1995-06-30,"[3, 7, 9]","[2, 6, 0]",0,はずれ,0.9447,BaseModel,予測3
1995-06-30,"[3, 6, 9]","[2, 6, 0]",1,はずれ,0.9436,BaseModel,予測4
1995-06-30,"[0, 1, 3]","[2, 6, 0]",1,はずれ,0.9432,BaseModel,予測5
1995-07-04,"[0, 3, 9]","[5, 8, 8]",0,はずれ,0.9404,BaseModel,予測1
1995-07-04,"[4, 7, 8]","[5, 8, 8]",1,はずれ,0.9528,BaseModel,予測2
1995-07-04,"[3, 7, 9]","[5, 8, 8]",0,はずれ,0.9447,BaseModel,予測3
1995-07-04,"[1, 5, 8]","[5, 8, 8]",2,はずれ,0.9438,BaseModel,予測4
1995-07-04,"[2, 4, 9]","[5, 8, 8]",0,はずれ,0.9417,BaseModel,予測5
1995-07-07,"[2, 7, 9]","[5, 1, 2]",1,はずれ,0.9467,BaseModel,予測1
